id,name,date_created,lat,lng,notification_type,geo_event_id,first_evac_time,lead_time_minutes,response_bucket,west_coast,hour,month,state,country
21237,Bear Fire,2024-06-08 19:36:02.126821+00:00,33.948667,-110.524833,normal,21237.0,2024-06-21 00:28:47.576169+00:00,17572.757489133335,3+ hours,False,19,6,Arizona,US
21255,Pioneer Fire,2024-06-08 21:23:11.991310+00:00,48.182553,-120.530919,normal,21255.0,2024-06-28 19:30:39.416884+00:00,28687.4570929,3+ hours,True,21,6,Washington,US
21947,Post Fire,2024-06-15 21:02:00.385640+00:00,34.79359424699069,-118.85299537895006,normal,21947.0,2024-06-20 17:28:11.899946+00:00,6986.1919051,3+ hours,True,21,6,California,US
21958,Encerrita Fire,2024-06-15 21:44:35.906325+00:00,34.934444,-107.934611,normal,21958.0,2024-06-21 04:07:01.207735+00:00,7582.421690166667,3+ hours,False,21,6,New Mexico,US
21998,Hesperia Fire,2024-06-16 01:18:50.348476+00:00,34.30777409709603,-117.28731650401784,normal,21998.0,2024-06-20 01:25:02.746796+00:00,5766.206638666667,3+ hours,True,1,6,California,US
22048,Point Fire,2024-06-16 19:44:33.306204+00:00,38.705475,-123.012253,normal,22048.0,2024-06-20 00:10:17.907587+00:00,4585.743356383333,3+ hours,True,19,6,California,US
22086,Hidden Fire,2024-06-16 23:40:01.889611+00:00,40.72112248930881,-122.23923405787409,normal,22086.0,2024-06-19 01:53:58.528837+00:00,3013.9439871,3+ hours,True,23,6,California,US
22124,South Fork Fire,2024-06-17 15:32:41.270084+00:00,33.337541476585486,-105.76600103979008,normal,22124.0,2024-06-19 20:25:18.317177+00:00,3172.61745155,3+ hours,False,15,6,New Mexico,US
22172,Sites Fire,2024-06-17 20:46:26.896745+00:00,39.31703933890236,-122.46814450897196,normal,22172.0,2024-06-19 15:03:58.702354+00:00,2537.5300934833335,3+ hours,True,20,6,California,US
22195,Salt Fire,2024-06-17 21:55:21.045757+00:00,33.24115259228665,-105.70860528953877,normal,22195.0,2024-06-20 04:46:57.765130+00:00,3291.61198955,3+ hours,False,21,6,New Mexico,US
22207,Aero Fire,2024-06-17 22:27:50.180688+00:00,38.03134693420745,-120.68479821692424,normal,22207.0,2024-06-19 15:52:25.182677+00:00,2484.5833664833335,3+ hours,True,22,6,California,US
22429,Ham Fire,2024-06-19 22:02:25.458408+00:00,39.1245917,-122.8645956,normal,22429.0,2024-06-19 22:17:05.407455+00:00,14.665817449999999,0-15 min,True,22,6,California,US
22519,Double Fire,2024-06-20 20:19:50.402073+00:00,39.4578804107725,-121.30324819637733,normal,22519.0,2024-06-20 21:06:11.287310+00:00,46.348087283333335,15-60 min,True,20,6,California,US
22540,Upper Applegate Fire,2024-06-20 22:18:10.910699+00:00,42.18674733317232,-123.04335696298168,normal,22540.0,2024-06-20 23:31:06.248406+00:00,72.92229511666666,1-3 hours,True,22,6,Oregon,US
22542,Hwy 62 Fire,2024-06-20 22:25:29.582560+00:00,42.5646193327311,-122.80501223677402,normal,22542.0,2024-06-20 23:53:25.761921+00:00,87.93632268333334,1-3 hours,True,22,6,Oregon,US
22557,Antigua Fire,2024-06-21 00:10:44.405661+00:00,32.83254768145116,-117.09851538924096,normal,22557.0,2024-06-21 00:26:46.196218+00:00,16.029842616666667,15-60 min,True,0,6,California,US
22597,Gulch Fire,2024-06-21 16:05:12.300270+00:00,37.313968362435546,-119.78963305714508,normal,22597.0,2024-06-21 16:32:23.486959+00:00,27.186444816666665,15-60 min,True,16,6,California,US
22609,Keys Road Fire,2024-06-21 17:50:09.148026+00:00,46.59437910747912,-120.46632332408436,normal,22609.0,2024-06-21 17:58:36.280070+00:00,8.452200733333333,0-15 min,True,17,6,Washington,US
22632,Ironwood Fire,2024-06-21 21:32:43.960872+00:00,39.780188,-119.651841,normal,22632.0,2024-06-21 21:58:08.309368+00:00,25.405808266666668,15-60 min,True,21,6,Nevada,US
22707,Oak Ridge Fire,2024-06-22 17:10:36.739846+00:00,38.089417,-105.038717,normal,22707.0,2024-06-24 20:05:09.430061+00:00,3054.544836916667,3+ hours,False,17,6,Colorado,US
22737,Needles Fire,2024-06-22 21:03:30.800727+00:00,34.8507835,-114.6205734,normal,22737.0,2024-06-22 22:45:47.523451+00:00,102.27871206666667,1-3 hours,False,21,6,California,US
22756,Slide Ranch/Mission Road Fire,2024-06-22 23:11:03.581771+00:00,46.332133,-120.730383,normal,22756.0,2024-06-23 01:15:20.781483+00:00,124.28666186666666,1-3 hours,True,23,6,Washington,US
22760,Watts Fire,2024-06-22 23:33:48.458478+00:00,36.91200541317306,-119.41740910070304,normal,22760.0,2024-06-22 23:56:37.982614+00:00,22.825402266666668,15-60 min,True,23,6,California,US
22763,Long Bend Fire,2024-06-22 23:57:25.768266+00:00,45.130033,-121.126367,normal,22763.0,2024-06-23 04:36:43.440652+00:00,279.2945397666666,3+ hours,True,23,6,Oregon,US
22765,Gold Creek Fire,2024-06-23 00:01:52.976327+00:00,48.20384062813608,-120.12667796426288,normal,22765.0,2024-06-23 00:52:47.272179+00:00,50.90493086666667,15-60 min,True,0,6,Washington,US
22794,Oak Fire,2024-06-23 10:46:58.116820+00:00,33.65467807259364,-116.92785890980385,normal,22794.0,2024-06-23 12:40:28.505125+00:00,113.50647175,1-3 hours,True,10,6,California,US
22854,Number Two Fire,2024-06-23 23:46:40.157658+00:00,47.41224858031521,-120.3651050087316,normal,22854.0,2024-06-24 00:34:50.069804+00:00,48.165202433333334,15-60 min,True,23,6,Washington,US
22979,Armstrong Fire,2024-06-24 22:02:51.164719+00:00,39.04228874766517,-122.92009252505508,normal,22979.0,2024-06-24 22:29:45.861954+00:00,26.911620583333335,15-60 min,True,22,6,California,US
22984,Flash Fire,2024-06-24 22:25:06.929371+00:00,36.72158180823182,-119.33897528347144,normal,22984.0,2024-06-25 00:58:27.145197+00:00,153.33693043333332,1-3 hours,True,22,6,California,US
22994,Flash/Bolt Fire (June),2024-06-24 22:42:22.617432+00:00,36.74874685530526,-119.30499664266108,normal,22994.0,2024-06-25 00:58:13.306204+00:00,135.84481286666667,1-3 hours,True,22,6,California,US
23008,Pine Ridge Fire,2024-06-24 23:35:12.095946+00:00,42.2753,-104.43187,normal,23008.0,2024-06-25 01:18:19.894262+00:00,103.12997193333334,1-3 hours,False,23,6,Wyoming,US
23011,East Fire,2024-06-24 23:45:59.295817+00:00,36.72088823108115,-119.32222427209165,normal,23011.0,2024-06-25 01:00:52.271871+00:00,74.88293423333333,1-3 hours,True,23,6,California,US
23043,Apache Fire,2024-06-25 02:26:47.098900+00:00,39.4182988,-121.4822581,normal,23043.0,2024-06-25 02:57:59.213975+00:00,31.201917916666666,15-60 min,True,2,6,California,US
23100,Del Mar Fire,2024-06-25 17:59:29.725856+00:00,32.93950094970268,-117.25164007026191,normal,23100.0,2024-06-25 22:25:21.988916+00:00,265.87105099999997,3+ hours,True,17,6,California,US
23129,Darlene 3 Fire,2024-06-25 20:12:43.793864+00:00,43.6467,-121.477533,normal,23129.0,2024-06-25 20:50:53.426410+00:00,38.16054243333333,15-60 min,True,20,6,Oregon,US
23208,Round Pole Fire,2024-06-26 03:04:00.571209+00:00,46.042837,-111.341241,normal,23208.0,2024-06-26 04:29:01.307283+00:00,85.01226790000001,1-3 hours,False,3,6,Montana,US
23257,Missouri Lake Fire,2024-06-26 17:15:53.854810+00:00,39.8303312793546,-105.51709275286304,normal,23257.0,2024-06-26 17:16:19.692988+00:00,0.43063629999999997,0-15 min,False,17,6,Colorado,US
23279,Basin Fire,2024-06-26 18:49:45.999769+00:00,36.869333,-119.108333,normal,23279.0,2024-06-26 22:37:31.761594+00:00,227.76269708333334,3+ hours,True,18,6,California,US
23311,Vegetation Fire,2024-06-26 20:47:41.803616+00:00,40.809259,-104.97643,normal,23311.0,2024-06-26 21:19:12.225169+00:00,31.50702588333333,15-60 min,False,20,6,Colorado,US
23480,Boulder View Fire,2024-06-27 21:42:16.624563+00:00,33.81844388503126,-111.83751995301122,normal,23480.0,2024-06-28 06:40:40.659736+00:00,538.4005862166666,3+ hours,False,21,6,Arizona,US
